# LET [MeV/cm], E [MeV], beta 
266.787,1,0.0462994
262.321,1.0249,0.0468714
258.016,1.0498,0.0474365
253.862,1.07471,0.0479948
249.852,1.09961,0.0485467
245.979,1.12451,0.0490924
242.235,1.14941,0.049632
238.614,1.17432,0.0501658
235.11,1.19922,0.0506939
231.717,1.22412,0.0512165
228.43,1.24902,0.0517338
225.244,1.27393,0.0522459
222.155,1.29883,0.052753
219.158,1.32373,0.0532553
216.248,1.34863,0.0537528
213.422,1.37354,0.0542457
210.677,1.39844,0.0547341
208.008,1.42334,0.0552182
205.413,1.44824,0.0556981
202.888,1.47315,0.0561737
200.432,1.49805,0.0566454
198.039,1.52295,0.0571131
195.71,1.54785,0.057577
193.44,1.57276,0.0580372
191.227,1.59766,0.0584937
189.07,1.62256,0.0589466
186.966,1.64746,0.059396
184.913,1.67237,0.0598421
182.909,1.69727,0.0602848
180.953,1.72217,0.0607242
179.042,1.74707,0.0611604
177.176,1.77198,0.0615935
175.352,1.79688,0.0620236
173.57,1.82178,0.0624506
171.827,1.84668,0.0628748
170.122,1.87159,0.063296
168.454,1.89649,0.0637144
166.823,1.92139,0.0641301
165.225,1.94629,0.0645431
163.662,1.9712,0.0649534
162.131,1.9961,0.065361
160.631,2.021,0.0657662
159.161,2.0459,0.0661688
157.721,2.07081,0.0665689
156.31,2.09571,0.0669667
154.926,2.12061,0.067362
153.57,2.14551,0.067755
152.239,2.17042,0.0681457
150.934,2.19532,0.0685342
149.653,2.22022,0.0689204
148.396,2.24512,0.0693045
147.162,2.27003,0.0696864
145.951,2.29493,0.0700662
144.761,2.31983,0.0704439
143.593,2.34473,0.0708195
142.446,2.36964,0.0711932
141.318,2.39454,0.0715649
140.211,2.41944,0.0719346
139.122,2.44434,0.0723024
138.052,2.46925,0.0726683
137,2.49415,0.0730324
135.965,2.51905,0.0733946
134.948,2.54395,0.073755
133.948,2.56886,0.0741136
132.963,2.59376,0.0744705
131.995,2.61866,0.0748256
131.042,2.64356,0.0751791
130.105,2.66847,0.0755308
129.182,2.69337,0.0758809
128.273,2.71827,0.0762294
127.378,2.74317,0.0765762
126.498,2.76808,0.0769215
125.63,2.79298,0.0772652
124.776,2.81788,0.0776073
123.934,2.84278,0.0779479
123.105,2.86769,0.078287
122.288,2.89259,0.0786246
121.483,2.91749,0.0789608
120.69,2.94239,0.0792955
119.908,2.9673,0.0796287
119.137,2.9922,0.0799606
118.377,3.0171,0.080291
117.627,3.042,0.0806201
116.888,3.06691,0.0809478
116.16,3.09181,0.0812741
115.441,3.11671,0.0815991
114.732,3.14161,0.0819228
114.033,3.16652,0.0822452
113.343,3.19142,0.0825664
112.662,3.21632,0.0828862
111.99,3.24122,0.0832048
111.327,3.26613,0.0835222
110.673,3.29103,0.0838383
110.027,3.31593,0.0841532
109.389,3.34083,0.0844669
108.76,3.36574,0.0847794
108.138,3.39064,0.0850908
107.524,3.41554,0.085401
106.918,3.44044,0.0857101
106.319,3.46535,0.086018
105.728,3.49025,0.0863248
105.144,3.51515,0.0866304
104.567,3.54005,0.086935
103.997,3.56496,0.0872385
103.434,3.58986,0.0875409
102.878,3.61476,0.0878423
102.328,3.63966,0.0881426
101.785,3.66457,0.0884418
101.248,3.68947,0.0887401
100.717,3.71437,0.0890373
100.192,3.73927,0.0893335
99.6734,3.76418,0.0896286
99.1606,3.78908,0.0899228
98.6536,3.81398,0.090216
98.1523,3.83888,0.0905083
97.6566,3.86379,0.0907996
97.1664,3.88869,0.0910899
96.6817,3.91359,0.0913792
